Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
PODD,Insulet Corporation,Health Care,Health Care Equipment,Aktuell,
INTC,Intel,Information Technology,Semiconductors,Aktuell,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Aktuell,
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,Aktuell,
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,Aktuell,
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,Aktuell,
INTU,Intuit,Information Technology,Application Software,Aktuell,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,Aktuell,
IVZ,Invesco,Financials,Asset Management & Custody Banks,Aktuell,
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,Aktuell,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,Aktuell,
IRM,Iron Mountain,Real Estate,Other Specialized REITs,Aktuell,
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,Aktuell,
JBL,Jabil,Information Technology,Electronic Manufacturing Services,Aktuell,
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,Aktuell,
J,Jacobs Solutions,Industrials,Construction & Engineering,Aktuell,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,Aktuell,
JCI,Johnson Controls,Industrials,Building Products,Aktuell,
JPM,JPMorgan Chase,Financials,Diversified Banks,Aktuell,
JNPR,Juniper Networks,Information Technology,Communications Equipment,Aktuell,
K,Kellanova,Consumer Staples,Packaged Foods & Meats,Aktuell,
KVUE,Kenvue,Consumer Staples,Personal Care Products,Aktuell,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Aktuell,
KEY,KeyCorp,Financials,Regional Banks,Aktuell,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,Aktuell,
KMB,Kimberly-Clark,Consumer Staples,Household Products,Aktuell,
