Datum,Tatsächlich,Vorhergesagt
2022-10-19,3703.1101873131415,3673.1597535101178
2022-10-20,3689.0500588834407,3617.760906291806
2022-10-21,3657.1000403688236,3619.3206754873977
2022-10-24,3762.0100090175406,3685.4283858396234
2022-10-25,3799.439813684294,3730.993344928575
2022-10-26,3825.9698580917034,3788.4727201049104
2022-10-27,3834.6898811927535,3751.838021664153
2022-10-28,3808.260120453488,3739.950825429551
2022-10-31,3881.850066917105,3831.376580428478
2022-11-01,3901.790041703644,3774.202712284023
2022-11-02,3852.8999627038143,3797.899026754458
2022-11-03,3733.2500856177653,3690.6452855188404
2022-11-04,3766.9801392419326,3641.693603694294
2022-11-07,3780.7100478786747,3729.8673025977046
2022-11-08,3817.019898865838,3736.4792197319916
2022-11-09,3810.93984332867,3765.9131926440755
2022-11-10,3859.8897343734284,3664.6120034247
2022-11-11,3963.7198628098126,3956.2240167720306
2022-11-14,3977.969813897071,3881.3622585027774
2022-11-15,4006.4099040266597,3885.9989455305918
2022-11-16,3976.8201332729955,3921.7916193149
2022-11-17,3919.2601730061874,3858.9080288934933
2022-11-18,3966.389915474138,3848.728520264995
2022-11-21,3956.2301054233108,3888.2137819727363
2022-11-22,3965.5099262861772,3851.341626132053
2022-11-23,4000.3001215450063,3930.562500561937
2022-11-25,4023.339936145058,3929.5313695598456
2022-11-28,4005.36014891477,3929.2376816745677
2022-11-29,3964.1897634262573,3856.4517953358886
2022-11-30,3957.1799350230144,3874.893245595595
2022-12-01,4087.140047662106,3995.0882360491964
2022-12-02,4040.17004275127,3978.5754556214674
2022-12-05,4052.019990766276,3964.2456357556516
2022-12-06,3996.629739290948,3894.8851529959943
2022-12-07,3933.280187968631,3854.097278070258
2022-12-08,3947.7901602811476,3856.5871782878826
2022-12-09,3954.1699923548736,3886.9369559836928
2022-12-12,3939.290044938098,3849.3212683749157
2022-12-13,4069.3798100338613,3912.075922651566
2022-12-14,4015.540015699226,3967.149922416284
2022-12-15,3958.3700872703052,3897.6844999610335
2022-12-16,3890.9099800219706,3794.7451053913396
2022-12-19,3853.7899802585894,3780.872292527493
2022-12-20,3810.4699427122255,3749.871387300664
2022-12-21,3839.489887337259,3754.1112375273956
2022-12-22,3853.2599094412585,3818.6029481986775
2022-12-23,3815.1102112996164,3705.940335690539
2022-12-27,3843.340063882061,3781.382306611195
2022-12-28,3829.560013411247,3739.801832551166
2022-12-29,3805.4500288097192,3716.359808810667
2022-12-30,3829.060027694359,3789.605925554934
2023-01-03,3853.2899945417016,3734.5458938725646
2023-01-04,3840.360206314363,3763.968047638046
2023-01-05,3839.739880195703,3782.2164518365757
2023-01-06,3823.3700039950786,3723.7729208222304
2023-01-09,3910.820227864024,3840.099110621232
2023-01-10,3888.570147150604,3820.892639235972
2023-01-11,3932.350056946598,3831.0814599193695
2023-01-12,3977.570111848327,3895.197823147028
2023-01-13,3960.5999662626714,3887.172980759788
2023-01-17,3999.280093377602,3903.610906592367
2023-01-18,4002.2499225784854,3905.1416651553886
2023-01-19,3911.8402560314285,3847.312729764381
2023-01-20,3909.040192754474,3810.0469605262338
2023-01-23,3978.1399379769578,3902.0994884510587
2023-01-24,4001.7399084947833,3933.3034681058784
2023-01-25,3982.710007996648,3910.5641463543
2023-01-26,4036.079901714839,3904.3601688557833
2023-01-27,4053.719798941311,3976.371005702095
2023-01-30,4049.2700693233933,3971.6634037946646
2023-01-31,4020.8500359274335,3914.799340553582
2023-02-01,4070.0699765642644,3993.835406509316
2023-02-02,4158.680267580057,4016.7244374511943
2023-02-03,4136.689849935938,4098.636137590947
2023-02-06,4119.569995159982,4016.9916217956056
2023-02-07,4105.350129173166,4006.8199925981758
2023-02-08,4153.470172864036,4065.553271782265
2023-02-09,4144.250164046098,4001.9856034817353
2023-02-10,4068.919937784231,4001.2628447591856
2023-02-13,4096.620077705302,3984.9853727956365
2023-02-14,4126.700163964997,4046.642637218029
2023-02-15,4119.500154748239,4021.2110571327507
2023-02-16,4114.749932281848,4038.3427310553093
2023-02-17,4077.3899680268373,3982.393756286038
2023-02-21,4052.3502105592347,3972.9839248105422
2023-02-22,4001.8301637961126,3895.3962415475694
2023-02-23,4018.6001002014386,3915.176478776994
2023-02-24,3973.2400063202663,3926.6063098536692
2023-02-27,3992.360162119731,3858.5821069720264
2023-02-28,3977.190108377254,3925.6023987043595
2023-03-01,3963.3402174946973,3877.818663457729
2023-03-02,3938.68010534221,3868.9743602393723
2023-03-03,3998.0201007185683,3897.4563546160066
2023-03-06,4055.1499156802315,3966.4350431248026
2023-03-07,4048.2600695228034,3958.395158187341
2023-03-08,3987.550127608411,3889.6005618407803
2023-03-09,3998.659767258942,3907.6423100517427
2023-03-10,3912.7700288975034,3836.630012015376
2023-03-13,3835.1200264978984,3785.880029127439
2023-03-14,3894.0101779914407,3788.5310995260083
2023-03-15,3876.7398977132693,3870.3088493375985
2023-03-16,3878.9300213943357,3778.696136928775
2023-03-17,3958.689920540492,3900.9576872580515
2023-03-20,3917.470109529823,3823.0773905776737
2023-03-21,3975.890002250963,3895.549890453404
2023-03-22,4002.040043187299,3928.430398146011
2023-03-23,3959.2099629910085,3855.0320651197403
2023-03-24,3939.209818003583,3882.909850395809
2023-03-27,3982.929915754649,3868.410264606064
2023-03-28,3974.1300238750414,3907.7687391047953
2023-03-29,3999.530086236046,3870.645515937795
2023-03-30,4046.7400556385114,3961.687327750115
2023-03-31,4056.17997221445,3954.4876766893144
2023-04-03,4102.200147525582,4021.005475613056
2023-04-04,4128.029638879816,4016.662118314562
2023-04-05,4094.5001525919365,4000.966649782204
2023-04-06,4081.14988927031,3986.972422048712
2023-04-10,4085.1999168394836,4003.7416421421226
2023-04-11,4110.290174297115,3995.968225237157
2023-04-12,4121.720363529748,4013.888558578474
2023-04-13,4100.040108944959,3997.2335902355558
2023-04-14,4140.109881175595,4053.039302621765
2023-04-17,4137.169778919197,4026.1177937526377
2023-04-18,4164.259621088422,4046.89764425988
2023-04-19,4139.330175655778,4053.4228876524144
2023-04-20,4130.480141942098,4043.848304436397
2023-04-21,4132.140194805834,4018.530976101611
2023-04-24,4132.069996238133,4032.458944982937
2023-04-25,4126.430114372924,4031.6917749216377
2023-04-26,4087.7800723584373,3966.8548019071754
2023-04-27,4075.2900996471003,3973.8886267595813
2023-04-28,4129.629879698623,4052.2087389559606
2023-05-01,4166.789992929262,4058.0047768187073
2023-05-02,4164.100241687265,4067.5496330902392
2023-05-03,4122.2500761911215,4002.204794927821
2023-05-04,4082.549920908787,4011.899360389653
2023-05-05,4084.730016223039,3954.3010774353756
2023-05-08,4136.979956261639,4069.4775866103014
2023-05-09,4124.2500190586725,4021.3926422032823
2023-05-10,4143.740149962396,4018.4306924334674
2023-05-11,4132.24012031802,4041.359120530688
2023-05-12,4138.5400836131885,4019.5832383052043
2023-05-15,4126.650022130925,4026.1471625411655
2023-05-16,4127.950128257216,4033.5147887461067
2023-05-17,4122.849987420195,4007.185311674985
2023-05-18,4157.680296146282,4067.4543636055027
2023-05-19,4204.149957184272,4089.3104727655013
2023-05-22,4190.779637129017,4085.2948281682625
2023-05-23,4176.799735633831,4087.3438384020124
2023-05-24,4132.960013792908,4033.591434121045
2023-05-25,4155.710080223216,4009.7009991215605
2023-05-26,4156.16028226199,4071.697795391811
2023-05-30,4226.709842801065,4101.318009401875
2023-05-31,4190.740239973675,4101.701594432525
2023-06-01,4183.029858517257,4066.0031156650807
2023-06-02,4241.009935722395,4130.62806035261
2023-06-05,4282.990111831168,4180.181444186019
2023-06-06,4271.340014840534,4154.367353537964
2023-06-07,4285.470341837936,4166.711556774535
2023-06-08,4268.690018909838,4155.302856899361
2023-06-09,4304.879887651186,4179.217288348009
2023-06-12,4308.319975624472,4188.027566750388
2023-06-13,4352.609899504168,4220.4460532576195
2023-06-14,4366.290024462796,4250.858866401977
2023-06-15,4365.330166496278,4241.6406483638275
2023-06-16,4440.950140927889,4304.080841709656
2023-06-20,4396.109731341276,4284.116512317996
2023-06-21,4380.009904732724,4256.837563803128
2023-06-22,4355.3999344143085,4244.25160529514
2023-06-23,4354.170026855718,4251.258210294764
2023-06-26,4344.839706002822,4214.528958681185
2023-06-27,4337.359976983134,4220.437815670593
2023-06-28,4367.479818554129,4260.54268718508
2023-06-29,4374.939848996146,4242.291059582931
2023-06-30,4422.439924724313,4270.043132117862
2023-07-03,4450.4799546491995,4331.91958798634
2023-07-05,4442.040009507036,4306.97259291177
2023-07-06,4422.620077171014,4305.8594441953755
