Date,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope
1981-11-16,0,0,0,0,0,0,-5.71460
1981-11-17,0,0,0,0,0,0,3.97173
1981-11-18,0,0,0,0,0,0,-3.43563
1981-11-19,0,0,0,0,0,0,2.01932
1981-11-20,0,0,0,0,0,0,4.27606
1981-11-23,0,0,0,0,0,0,-0.49206
1981-11-24,0,0,0,0,0,0,7.39046
1981-11-25,0,0,0,0,0,0,1.82575
1981-11-27,0,0,0,0,0,0,3.31711
1981-11-30,0,0,0,0,0,0,3.57552
1981-12-01,0,0,0,0,0,0,-1.38513
1981-12-02,0,0,0,0,0,0,-7.32356
1981-12-03,0,0,0,0,0,0,1.46077
1981-12-04,0,0,0,0,0,0,3.65594
1981-12-07,0,0,0,0,0,0,-5.38346
1981-12-08,0,0,0,0,0,0,-1.77920
1981-12-09,0,0,0,0,0,0,2.41043
1981-12-10,0,0,0,0,0,0,0.83707
1981-12-11,0,0,0,0,0,0,-4.13640
1981-12-14,0,0,0,0,0,0,-9.48006
1981-12-15,0,0,0,0,0,0,0.94917
1981-12-16,0,0,0,0,0,0,-2.30545
1981-12-17,0,0,0,0,0,0,3.35991
1981-12-18,0,0,0,0,0,0,3.94698
1981-12-21,0,0,0,0,0,0,-3.01511
1981-12-22,0,0,0,0,0,0,-2.04325
1981-12-23,0,0,0,0,0,0,-2.47547
1981-12-24,0,0,0,0,0,0,1.24051
1981-12-28,0,0,0,0,0,0,-1.25901
1981-12-29,0,0,0,0,0,0,-2.74917
1981-12-30,0,0,0,0,0,0,3.80025
1981-12-31,0,0,0,0,0,0,1.47684
1982-01-04,0,0,0,0,0,0,1.15036
1982-01-05,0,0,0,0,0,0,-11.99377
1982-01-06,0,0,0,0,0,0,-2.88769
1982-01-07,0,0,0,0,0,0,-0.80255
1982-01-08,0,0,0,0,0,0,4.07881
1982-01-11,0,1,0,1,0,1,-8.24468
1982-01-12,0,1,0,2,0,0,-1.14385
1982-01-13,0,1,0,3,0,0,-3.09886
1982-01-14,0,1,0,4,0,0,4.09336
1982-01-15,0,0,0,0,0,0,4.66739
1982-01-18,0,0,0,0,0,0,4.90751
1982-01-19,0,0,0,0,0,0,-3.76110
1982-01-20,0,0,0,0,0,0,-1.92673
1982-01-21,0,0,0,0,0,0,2.72660
1982-01-22,0,0,0,0,0,0,-1.12293
1982-01-25,0,0,0,0,0,0,0.18626
1982-01-26,0,0,0,0,0,0,-0.73510
1982-01-27,0,0,0,0,0,0,3.69005
1982-01-28,0,0,0,0,0,0,16.15607
1982-01-29,0,0,0,0,0,0,5.34170
1982-02-01,0,0,0,0,0,0,-10.38609
1982-02-02,0,0,0,0,0,0,0.86175
1982-02-03,0,0,0,0,0,0,-5.17450
1982-02-04,0,0,0,0,0,0,-0.19451
1982-02-05,0,0,0,0,0,0,3.56193
1982-02-08,0,0,0,0,0,0,-8.23175
1982-02-09,0,0,0,0,0,0,-2.47284
1982-02-10,0,0,0,0,0,0,4.21553
1982-02-11,0,0,0,0,0,0,-0.66640
1982-02-12,0,0,0,0,0,0,-0.15287
1982-02-16,0,0,0,0,0,0,-1.02246
