Date,Close,RSI,RSI_DwellTime_Over70,RSI_DwellTime_Under30,RSI_Slope_5,RSI_DistanceTo50,RSI_Divergence,RSI_OverboughtCount_14,RSI_OversoldCount_14,RSI_Close_Corr_14,RSI_Volatility_14,RSI_ExtremeCount_14
2012-07-05,1367.5799560546875,59.50729148487176,0,0,8.808881740808062,9.507291484871757,0,0.0,0.0,0.98164439819454,5.738284142879261,0.0
2012-07-06,1354.6800537109375,54.74558012068104,0,0,4.960449713375361,4.745580120681041,0,0.0,0.0,0.978120448409249,5.730346434537538,0.0
2012-07-09,1352.4599609375,53.94552902635438,0,0,-5.184805921060587,3.9455290263543787,0,0.0,0.0,0.9769707023642341,5.709263612758753,0.0
2012-07-10,1341.469970703125,50.04652689991968,0,0,-9.895848611971196,0.04652689991967662,0,0.0,0.0,0.9744457689051916,5.560187614225009,0.0
2012-07-11,1341.449951171875,50.0394319118836,0,0,-11.968074318152325,0.039431911883596626,0,0.0,0.0,0.9746603846181653,5.397453435248119,0.0
2012-07-12,1334.760009765625,47.61040305321035,0,0,-11.89688843166141,2.389596946789652,0,0.0,0.0,0.9658442000713615,5.432021397162879,0.0
2012-07-13,1356.780029296875,55.30157610311287,0,0,0.5559959824318312,5.301576103112872,0,0.0,0.0,0.9662334530901544,5.444059781403579,0.0
2012-07-16,1353.6400146484375,54.082301992670445,0,0,0.13677296631606595,4.082301992670445,0,0.0,0.0,0.9569454269735961,4.879199744298024,0.0
2012-07-17,1363.6700439453125,57.319356503524304,0,0,7.272829603604627,7.319356503524304,0,0.0,0.0,0.954051629628947,4.518431487329509,0.0
2012-07-18,1372.780029296875,60.07257909138727,0,0,10.033147179503672,10.072579091387269,0,0.0,0.0,0.966240300892255,4.592467726814981,0.0
2012-07-19,1376.510009765625,61.17684769211668,0,0,13.566444638906333,11.17684769211668,0,0.0,0.0,0.984416230172178,4.5582956278903985,0.0
2012-07-20,1362.6600341796875,55.08481160493321,0,0,-0.21676449817966414,5.084811604933208,0,0.0,0.0,0.9806958021513114,4.476609593600263,0.0
2012-07-23,1350.52001953125,50.35172339543021,0,0,-3.730578597240232,0.3517233954302128,0,0.0,0.0,0.9754223244685474,4.523777399906487,0.0
2012-07-24,1338.31005859375,46.06465601409087,0,0,-11.254700489433432,3.935343985909128,0,0.0,0.0,0.9700576319924579,4.6538701100358875,0.0
2012-07-25,1337.8900146484375,45.91980845689148,0,0,-14.152770634495788,4.080191543108519,0,0.0,0.0,0.9679436424254874,4.820376001736595,0.0
2012-07-26,1360.02001953125,54.10742081796244,0,0,-7.069426874154239,4.107420817962442,0,0.0,0.0,0.9666892552072611,4.805419917880261,0.0
2012-07-27,1385.969970703125,61.47324291200428,0,0,6.388431307071073,11.473242912004281,0,0.0,0.0,0.9672503711861067,5.320455062970005,0.0
2012-07-30,1385.300048828125,61.20015431021401,0,0,10.848430914783798,11.20015431021401,0,0.0,0.0,0.9683538200862056,5.595538587481452,0.0
2012-07-31,1379.3199462890625,58.69359870615564,0,0,12.628942692064768,8.69359870615564,0,0.0,0.0,0.965125695716921,5.569984962742796,0.0
2012-08-01,1375.3199462890625,57.01160586118053,0,0,11.091797404289046,7.011605861180527,0,0.0,0.0,0.9545506916755829,5.177757152414293,0.0
2012-08-02,1365.0,52.806984406545055,0,0,-1.3004364114173868,2.8069844065450553,0,0.0,0.0,0.9512385054642574,5.230046522116054,0.0
2012-08-03,1390.989990234375,60.67319630266663,0,0,-0.8000466093376488,10.673196302666632,0,0.0,0.0,0.9517679500594262,5.397881546852006,0.0
2012-08-06,1394.22998046875,61.53396720492855,0,0,0.3338128947145407,11.533967204928551,0,0.0,0.0,0.9588965230667083,5.59964704932894,0.0
2012-08-07,1401.3499755859375,63.42833514988708,0,0,4.7347364437314425,13.428335149887083,0,0.0,0.0,0.9706450722058374,5.846615983637147,0.0
2012-08-08,1402.219970703125,63.66381193945077,0,0,6.65220607827024,13.663811939450767,0,0.0,0.0,0.98517527942706,6.037746716256626,0.0
2012-08-09,1402.800048828125,63.83103409742906,0,0,11.024049690884006,13.831034097429061,0,0.0,0.0,0.9883984935880539,6.317973046503256,0.0
2012-08-10,1405.8699951171875,64.75546657929038,0,0,4.082270276623753,14.755466579290385,0,0.0,0.0,0.9881149682003555,6.290215184437143,0.0
2012-08-13,1404.1099853515625,63.74949699290766,0,0,2.215529787979108,13.749496992907659,0,0.0,0.0,0.9834999957497332,5.368293615906065,0.0
2012-08-14,1403.9300537109375,63.64064906650904,0,0,0.21231391662195875,13.640649066509042,0,0.0,0.0,0.9720631419698004,3.7756177473365,0.0
2012-08-15,1405.530029296875,64.22558252985719,0,0,0.5617705904064252,14.225582529857192,0,0.0,0.0,0.9654588508568189,3.3496525201600744,0.0
2012-08-16,1415.510009765625,67.71455934126935,0,0,3.883525243840289,17.71455934126935,0,0.0,0.0,0.9808357125926669,3.7414394677452893,0.0
2012-08-17,1418.1600341796875,68.59053280249066,0,0,3.835066223200272,18.590532802490657,0,0.0,0.0,0.9919631253794566,4.132462693866366,0.0
2012-08-20,1418.1300048828125,68.56782973156413,0,0,4.818332738656473,18.56782973156413,0,0.0,0.0,0.995681548268439,4.281720061192858,0.0
2012-08-21,1413.1700439453125,64.75529762754098,0,0,1.1146485610319417,14.755297627540983,0,0.0,0.0,0.9876770456046196,3.910947253302181,0.0
2012-08-22,1413.489990234375,64.89090902625055,0,0,0.6653264963933623,14.890909026250554,0,0.0,0.0,0.9449695700586584,2.3359389401706134,0.0
2012-08-23,1402.0799560546875,56.53633098548117,0,0,-11.178228355788178,6.536330985481172,0,0.0,0.0,0.7645624988002967,3.0267058588939815,0.0
2012-08-24,1411.1300048828125,60.842617983297245,0,0,-7.7479148191934115,10.842617983297245,0,0.0,0.0,0.6768420931549047,3.0800788254341587,0.0
2012-08-27,1410.43994140625,60.35161034152537,0,0,-8.21621939003876,10.351610341525372,0,0.0,0.0,0.6309003005450746,3.24677929332751,0.0
2012-08-28,1409.300048828125,59.49745218090813,0,0,-5.257845446632857,9.497452180908127,0,0.0,0.0,0.6209138938737793,3.464427848860606,0.0
2012-08-29,1410.489990234375,60.13179272958042,0,0,-4.759116296670136,10.131792729580418,0,0.0,0.0,0.6359543273362327,3.5932179418132533,0.0
2012-08-30,1399.47998046875,52.01449739932843,0,0,-4.521833586152745,2.0144973993284268,0,0.0,0.0,0.7729885757695751,4.68406739735134,0.0
2012-08-31,1406.5799560546875,56.12745175682331,0,0,-4.715166226473933,6.127451756823312,0,0.0,0.0,0.8217601144947777,4.966651750555173,0.0
2012-09-04,1404.93994140625,54.95570917208457,0,0,-5.395901169440805,4.955709172084568,0,0.0,0.0,0.8981489976846735,5.277540968194149,0.0
2012-09-05,1403.43994140625,53.84842745556126,0,0,-5.6490247253468695,3.848427455561257,0,0.0,0.0,0.9707208020974754,5.566676023991789,0.0
2012-09-06,1432.1199951171875,67.38119767694332,0,0,7.249404947362898,17.381197676943316,0,0.0,0.0,0.8733649517528068,5.534663186078481,0.0
2012-09-07,1437.9200439453125,69.3392290571881,0,0,17.32473165785968,19.339229057188106,0,0.0,0.0,0.8765153681305954,5.620690645463213,0.0
2012-09-10,1429.0799560546875,63.12010831092682,0,0,6.992656554103505,13.120108310926817,0,0.0,0.0,0.8803757282955078,5.204265458363452,0.0
2012-09-11,1433.56005859375,64.84118515659696,0,0,9.885475984512397,14.841185156596964,0,0.0,0.0,0.9031290744070998,5.210005784223778,0.0
2012-09-12,1436.56005859375,65.98587521146973,0,0,12.137447755908475,15.985875211469732,0,0.0,0.0,0.9419484972691555,5.292167380888162,0.0
2012-09-13,1459.989990234375,73.29784575188145,1,0,5.916648074938138,23.297845751881454,0,1.0,0.0,0.95533465225143,6.182794978354305,0.0
2012-09-14,1465.77001953125,74.74044131619446,2,0,5.401212259006357,24.740441316194463,0,2.0,0.0,0.9691849025001691,7.106724170204417,0.0
2012-09-17,1461.18994140625,71.44656581187269,3,0,8.326457500945871,21.446565811872688,0,3.0,0.0,0.9708580337986568,7.453453474938001,0.0
2012-09-18,1459.3199462890625,70.08840876095292,4,0,5.247223604355952,20.088408760952916,0,4.0,0.0,0.9691677684214276,7.570256395359638,0.0
2012-09-19,1461.050048828125,70.64440967629858,5,0,4.658534464828847,20.64440967629858,0,5.0,0.0,0.9709533625223815,7.667739111119695,0.0
2012-09-20,1460.260009765625,70.00449317421942,6,0,-3.2933525776620343,20.00449317421942,0,6.0,0.0,0.9621951573124343,6.811770682020185,0.0
2012-09-21,1460.1500244140625,69.90955235027596,0,0,-4.830888965918504,19.90955235027596,0,6.0,0.0,0.9504320894088853,6.225670523633386,0.0
2012-09-24,1456.8900146484375,67.00869112668238,0,0,-4.437874685190309,17.00869112668238,0,6.0,0.0,0.9100722031314972,5.156505542332758,0.0
2012-09-25,1441.5899658203125,55.39169851565104,0,0,-14.696710245301873,5.3916985156510435,0,6.0,0.0,0.6629374007233645,4.837927309780815,0.0
2012-09-26,1433.3199462890625,50.31418145206937,0,0,-20.33022822422921,0.31418145206937,0,6.0,0.0,0.7139959148585217,6.786844773126186,0.0
2012-09-27,1447.1500244140625,57.35436631092052,0,0,-12.650126863298901,7.354366310920518,0,6.0,0.0,0.7459097239040413,7.19458027321847,0.0
2012-09-28,1440.6700439453125,53.52734349801956,0,0,-16.382208852256397,3.5273434980195617,0,6.0,0.0,0.8002821366551408,7.912059104410123,0.0
2012-10-01,1444.489990234375,55.41595352483792,0,0,-11.592737601844462,5.415953524837917,0,6.0,0.0,0.8797684067905821,8.345544227122302,0.0
2012-10-02,1445.75,56.05040873889512,0,0,0.6587102232440785,6.050408738895122,0,6.0,0.0,0.9845567689996525,8.640624921817382,0.0
2012-10-03,1450.989990234375,58.68361599493333,0,0,8.369434542863956,8.683615994933326,0,5.0,0.0,0.9829818003171137,8.299498642222092,0.0
2012-10-04,1461.4000244140625,63.37800009431158,0,0,6.0236337833910625,13.37800009431158,0,4.0,0.0,0.9499355857859254,7.576482847212506,0.0
