Date,Close+1,Close_Direction,Volume,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1988-02-17,257.91000,0,176830000,60.08397,2.41446,1.74570,0,0,0,0,0,0,-1.09353,0,0,5,0,0,0.21095,0,0,0,0,0
1988-02-18,261.60999,1,151430000,57.75294,2.44852,1.88626,0,0,0,0,0,0,-2.33103,0,0,6,0,0,0.03406,0,0,0,0,0
1988-02-19,265.64001,1,180300000,62.24281,2.74245,2.05750,0,0,0,0,0,0,4.48987,0,0,7,0,0,0.29393,0,0,0,0,0
1988-02-22,265.01999,0,178930000,66.42794,3.26297,2.29860,0,0,0,0,0,0,4.18513,0,0,8,0,0,0.52052,1,0,1,0,0
1988-02-23,264.42999,0,192260000,65.22998,3.58414,2.55570,0,0,0,0,0,0,-1.19796,0,0,9,0,0,0.32117,0,0,0,0,0
1988-02-24,261.57999,0,212730000,64.04636,3.74786,2.79414,0,0,0,0,0,0,-1.18362,0,0,10,0,0,0.16372,0,0,0,0,0
1988-02-25,262.45999,1,213490000,58.52222,3.60607,2.95652,0,0,0,0,0,0,-5.52415,0,0,11,0,0,-0.14179,0,0,0,0,0
1988-02-26,267.82001,1,158060000,59.67867,3.52408,3.07003,0,0,0,0,0,0,1.15646,0,0,12,0,0,-0.08199,0,0,0,0,0
1988-02-29,267.22000,0,236050000,65.91274,3.84727,3.22548,0,0,0,0,0,0,6.23407,0,0,13,0,0,0.32319,0,0,0,0,0
1988-03-01,267.98001,1,199990000,64.70671,4.00877,3.38214,0,0,0,0,0,0,-1.20604,0,0,14,0,0,0.16150,0,0,0,0,0
1988-03-02,267.88000,0,199630000,65.56617,4.15025,3.53576,0,0,0,0,0,0,0.85946,0,0,15,0,0,0.14148,0,0,0,0,0
1988-03-03,267.29999,0,203310000,65.34069,4.20581,3.66977,0,0,0,0,0,0,-0.22548,0,0,16,0,0,0.05557,0,0,0,0,0
1988-03-04,267.38000,1,201410000,63.96670,4.15515,3.76685,0,0,0,0,0,0,-1.37398,0,0,17,0,0,-0.05066,0,0,0,0,0
1988-03-07,269.42999,1,152980000,64.07892,4.07449,3.82838,0,0,0,0,0,0,0.11222,0,0,18,0,0,-0.08066,0,0,0,0,0
